sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description
S.2D.O.M.107	121	scRNAseq of saline treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.2D.O.M.97	122	scRNAseq of saline treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.F.61	123	scRNAseq of saline treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.F.66	124	scRNAseq of saline treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.F.71	125	scRNAseq of saline treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.M.13	126	scRNAseq of saline treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.M.18	127	scRNAseq of saline treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.Y.M.23	128	scRNAseq of saline treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.F.155	129	scRNAseq of saline treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.F.160	130	scRNAseq of saline treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.F.164	131	scRNAseq of saline treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.M.110	132	scRNAseq of saline treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.M.113	133	scRNAseq of saline treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
S.21D.O.M.116	134	scRNAseq of saline treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.F.73	135	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.F.78	136	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.F.83	137	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.M.25	138	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.M.30	139	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.Y.M.35	140	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.F.168	141	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.F.173	142	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.F.178	143	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.M.120	144	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.M.123	145	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.2D.O.M.128	146	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 2 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.F.85	147	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.F.90	148	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.F.95	149	scRNAseq of ecoli treated, 3 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.M.37	150	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.M.42	151	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.Y.M.47	152	scRNAseq of ecoli treated, 3 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.F.180	153	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.F.183	154	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.F.187	155	scRNAseq of ecoli treated, 6 months old, female mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.M.133	156	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.M.139	157	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
E.21D.O.M.142	158	scRNAseq of ecoli treated, 6 months old, male mouse brain harvested at 21 days	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	PolyA	paired	ILLUMINA	Illumina NovaSeq X Plus	Miltenyi ABDK was used for single cell suspension and Chromium GEM-X Single Cell 3' Reagent Kits v4 for library preparation 
